Height,Weight
150,48
152,70
154,52
156,54
158,56
160,58
162,80
164,62
166,64
168,66
170,68
172,70
174,72
176,74
178,90
180,78
182,80
184,82
186,84
188,86
149,47
151,49
153,51
155,53
157,55
159,57
161,59
163,61
165,63
167,65
169,67
171,69
173,71
175,73
177,75
179,77
181,79
183,81
185,83
187,85
148,46
150,48
152,50
154,52
156,54
158,56
160,58
162,60
164,62
166,64
168,66
170,68
172,70
174,72
176,74
178,76
180,78
182,80
184,82
186,84
147,45
149,47
151,49
153,51
155,53
157,55
159,57
161,59
163,61
165,63
167,65
169,67
171,69
173,71
175,73
177,75
179,77
181,79
183,81
185,83
